UI_Element,Default_Value,Percentage,Count,Total_Responses,Unique_Options
desktop_grid_pref,"3 Columns (Balanced view, moderate item size)",33.5,67,200,5
desktop_info_density,"Moderate (Balanced - some details visible, click for more)",72.5,145,200,3
desktop_image_text_ratio,"Image-focused (80% images, 20% text - highly visual)",53.5,107,200,3
desktop_whitespace,Balanced,57.0,114,200,3
desktop_navigation,Top Bar (Categories always visible across the top),29.5,59,200,4
desktop_search_visibility,"Always Visible Top (Large, prominent search bar always shown)",43.0,86,200,3
desktop_category_display,Visual Grid (Category tiles with images),42.5,85,200,4
desktop_product_card,"Info Rich (Lots of details, ratings, specs visible)",30.0,60,200,5
desktop_price_display,With Savings Highlighted (Shows discount amount prominently),26.5,53,200,5
desktop_filter_location,Sidebar Left (Permanent filter panel on the left side),45.5,91,200,3
desktop_persistent_filters,Yes (Always visible sidebar with filters),75.0,150,200,2
desktop_quick_view,Sidebar Slide (Details slide in from the right),48.0,96,200,4
desktop_review_display,Recent 3- 5 (Show a few recent reviews),39.0,78,200,4
