Profile_ID,Persona,Mood,Device,Antecedent,Num_Context_Conditions,UI_Adaptations,Num_UI_Adaptations,Num_Supporting_Rules,Avg_Support,Avg_Confidence,Avg_Lift
22,Deal Hunter,,Smartphone,"Device=Smartphone, Persona=Deal Hunter",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Large (Easier to tap, less content visible) | Mobile_whitespace=Balanced",10,34,0.083235,0.756684,1.585946
26,Deal Hunter,,,Persona=Deal Hunter,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_recommendation_type=Deals (Products on sale or special offers) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",10,34,0.089559,0.746324,1.557234
9,,Neutral,Laptop/Desktop,"Device=Laptop/Desktop, Mood=Neutral",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_navigation=Bottom Nav (Navigation bar at the bottom - mo... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",11,24,0.055208,0.736111,1.310721
10,Impulsive Buyer,,,Persona=Impulsive Buyer,1,"Desktop_category_display=Visual Grid (Category tiles with images) | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_quick_view=Slide-Up Panel (Preview product details in a ... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",12,24,0.09625,0.6875,1.220837
8,Impulsive Buyer,,Smartphone,"Device=Smartphone, Persona=Impulsive Buyer",2,"Desktop_category_display=Visual Grid (Category tiles with images) | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_quick_view=Slide-Up Panel (Preview product details in a ... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",12,24,0.085417,0.683333,1.212351
5,Minimalist,Neutral,,"Mood=Neutral, Persona=Minimalist",2,"Desktop_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_quick_view=Sidebar Slide (Details slide in from the right) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_social_proof_display=Customer Reviews (Written reviews with ratings) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_navigation=Bottom Nav (Navigation bar at the bottom - mo... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",15,23,0.061957,0.688406,1.185856
6,,Happy,,Mood=Happy,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_search_visibility=Collapsible (Search bar that expands when cli... | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_search_visibility=Collapsible (Search bar that expands when cli... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",12,22,0.062727,0.737968,1.294438
4,Loyal Customer,,Smartphone,"Device=Smartphone, Persona=Loyal Customer",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_quick_view=Sidebar Slide (Details slide in from the right) | Desktop_review_display=Recent 3- 5 (Show a few recent reviews) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_grid_pref=Compact stacked cards (more products per screen) | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_quick_view=Slide-Up Panel (Preview product details in a ... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",12,21,0.06381,0.708995,1.181011
11,,Bored,,Mood=Bored,1,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_button_style_pref=Rounded Corners (Soft, modern rounded edges) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_category_display=Dropdown Menu (Text-based dropdown list) | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",15,19,0.060526,0.672515,1.163676
25,Researcher,,Laptop/Desktop,"Device=Laptop/Desktop, Persona=Researcher",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_whitespace=Balanced",8,16,0.055,0.785714,1.298656
7,,,Laptop/Desktop,Device=Laptop/Desktop,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",11,16,0.134375,0.726351,1.107077
17,,Bored,Smartphone,"Device=Smartphone, Mood=Bored",2,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Global_button_style_pref=Rounded Corners (Soft, modern rounded edges) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_category_display=Dropdown Menu (Text-based dropdown list) | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",11,15,0.054333,0.679167,1.208218
29,,Stressed,,Mood=Stressed,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_search_visibility=Always Visible Top (Large, prominent search b... | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",9,14,0.1025,0.706897,1.107168
13,Researcher,,Smartphone,"Device=Smartphone, Persona=Researcher",2,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",10,14,0.131429,0.691729,1.05304
28,,Relaxed,Smartphone,"Device=Smartphone, Mood=Relaxed",2,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",10,13,0.121923,0.717195,1.083213
23,,Relaxed,,Mood=Relaxed,1,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",10,13,0.138846,0.712032,1.07857
30,,Stressed,Smartphone,"Device=Smartphone, Mood=Stressed",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_search_visibility=Always Visible Top (Large, prominent search b... | Global_checkout_style=One Page (All checkout steps on a single scro... | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",9,13,0.080385,0.698997,1.140044
20,Researcher,Neutral,Smartphone,"Device=Smartphone, Mood=Neutral, Persona=Researcher",3,"Desktop_filter_location=Sidebar Left (Permanent filter panel on the l... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",9,13,0.066154,0.696356,1.110771
16,Researcher,Neutral,,"Mood=Neutral, Persona=Researcher",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",9,13,0.082692,0.689103,1.037389
2,Loyal Customer,,,Persona=Loyal Customer,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",8,12,0.082083,0.746212,1.069915
15,Researcher,,,Persona=Researcher,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",9,12,0.1875,0.721154,1.060547
14,,Neutral,,Mood=Neutral,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",10,12,0.272083,0.70671,1.012987
21,Browser,,,Persona=Browser,1,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_checkout_style=One Page (All checkout steps on a single scro... | Global_recommendation_type=Deals (Products on sale or special offers) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_whitespace=Balanced",11,12,0.10375,0.691667,1.109168
12,,Happy,Smartphone,"Device=Smartphone, Mood=Happy",2,"Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_search_visibility=Collapsible (Search bar that expands when cli... | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",8,11,0.053182,0.818182,1.280946
24,,,Smartphone,Device=Smartphone,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",8,11,0.573182,0.703291,0.988304
27,Minimalist,,,Persona=Minimalist,1,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",10,11,0.153182,0.696281,1.00174
18,,Neutral,Smartphone,"Device=Smartphone, Mood=Neutral",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",9,10,0.2225,0.717742,1.000677
19,Browser,,Smartphone,"Device=Smartphone, Persona=Browser",2,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_checkout_style=One Page (All checkout steps on a single scro... | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_whitespace=Balanced",9,10,0.095,0.703704,1.098741
31,Minimalist,,Smartphone,"Device=Smartphone, Persona=Minimalist",2,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_whitespace=Balanced",8,9,0.112222,0.680135,0.970799
3,Minimalist,Neutral,Smartphone,"Device=Smartphone, Mood=Neutral, Persona=Minimalist",3,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_whitespace=Balanced",7,7,0.051429,0.791209,1.1119
1,Minimalist,,Laptop/Desktop,"Device=Laptop/Desktop, Persona=Minimalist",2,"Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl...",4,4,0.05,0.909091,1.217852
33,Researcher,Relaxed,,"Mood=Relaxed, Persona=Researcher",2,"Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_whitespace=Balanced",2,3,0.051667,0.939394,1.164006
32,,Excited,,Mood=Excited,1,Mobile_sticky_header=Yes (Header stays at top while scrolling),1,1,0.05,1.0,1.550388
34,Researcher,Relaxed,Smartphone,"Device=Smartphone, Mood=Relaxed, Persona=Researcher",3,Mobile_whitespace=Balanced,1,1,0.05,1.0,1.176471
