Mood,UI_Element,Override_Value,Default_Value,Mood_Count,Mood_Share,Confidence,Support,Evidence,Evidence_Count
Bored,urgency_pref,"Stock Numbers (Show ""Only 3 left in stock"")",Both (Show both stock and time based urgency),9,0.5,0.5,0.045,"Statistics, SHAP",2
Bored,desktop_price_display,Bold Large (Price is the most prominent element),With Savings Highlighted (Shows discount amount prominently),7,0.3889,0.388889,0.035,"Statistics, Random Forest, SHAP",3
Bored,desktop_grid_pref,"4 Columns (Compact view, many items visible at once)","3 Columns (Balanced view, moderate item size)",6,0.3333,0.333333,0.03,"Random Forest, SHAP",2
Bored,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",5,0.2778,0.277778,0.025,"Statistics, Random Forest",2
Excited,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",8,0.8,0.8,0.04,"Statistics, Random Forest",2
Excited,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",7,0.7,0.7,0.035,"Statistics, Random Forest",2
Excited,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",5,0.5,0.5,0.025,"Statistics, Random Forest",2
Excited,urgency_pref,"Countdown Timers (Show ""Sale ends in 2 hours"")",Both (Show both stock and time based urgency),5,0.5,0.5,0.025,"Statistics, SHAP",2
Happy,desktop_search_visibility,Collapsible (Search bar that expands when clicked),"Always Visible Top (Large, prominent search bar always shown)",13,0.7647,0.764706,0.065,"Statistics, Random Forest, SHAP, Association Rules",4
Happy,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),10,0.5882,0.588235,0.05,"Statistics, SHAP",2
Happy,desktop_filter_location,Top Bar (Filters displayed across the top),Sidebar Left (Permanent filter panel on the left side),8,0.4706,0.470588,0.04,"Random Forest, SHAP",2
Happy,desktop_price_display,With Comparison (Shows similar products' prices),With Savings Highlighted (Shows discount amount prominently),7,0.4118,0.411765,0.035,"Statistics, Random Forest, SHAP",3
Happy,desktop_grid_pref,"2 Columns (Large product images, fewer items per row)","3 Columns (Balanced view, moderate item size)",6,0.3529,0.352941,0.03,"Random Forest, SHAP",2
Happy,mobile_category_display,Visual Grid (Category tiles with images),Dropdown Menu (Text-based dropdown list),6,0.3529,0.352941,0.03,"Statistics, Random Forest, SHAP",3
Neutral,mobile_category_display,Visual Grid (Category tiles with images),Dropdown Menu (Text-based dropdown list),38,0.4935,0.493506,0.19,"Statistics, Random Forest, SHAP",3
Neutral,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),30,0.3896,0.38961,0.15,"Statistics, SHAP",2
Neutral,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",30,0.3896,0.38961,0.15,"Statistics, Random Forest",2
Neutral,desktop_price_display,Strike-through Original (Shows original price crossed out with sale price),With Savings Highlighted (Shows discount amount prominently),23,0.2987,0.298701,0.115,"Statistics, Random Forest, SHAP",3
Relaxed,desktop_search_visibility,Collapsible (Search bar that expands when clicked),"Always Visible Top (Large, prominent search bar always shown)",19,0.4872,0.487179,0.095,"Statistics, Random Forest, SHAP",3
Relaxed,desktop_quick_view,Modal Popup (Product details appear in a centered overlay),Sidebar Slide (Details slide in from the right),16,0.4103,0.410256,0.08,"Statistics, SHAP",2
Relaxed,desktop_price_display,Strike-through Original (Shows original price crossed out with sale price),With Savings Highlighted (Shows discount amount prominently),12,0.3077,0.307692,0.06,"Statistics, Random Forest, SHAP",3
Relaxed,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",11,0.2821,0.282051,0.055,"Statistics, Random Forest",2
Stressed,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",16,0.5517,0.551724,0.08,"Statistics, Random Forest",2
Stressed,mobile_filter_location,Bottom Sheet (Slides up from bottom   mobile style),Drawer Overlay (Slides in from the side when clicked),14,0.4828,0.482759,0.07,"Statistics, Random Forest",2
Stressed,hero_banner_size,Small Strip (Thin banner across the top),Medium Split (Takes up half the screen),13,0.4483,0.448276,0.065,"Statistics, Random Forest, SHAP",3
Stressed,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",13,0.4483,0.448276,0.065,"Statistics, Random Forest",2
Stressed,urgency_pref,"Stock Numbers (Show ""Only 3 left in stock"")",Both (Show both stock and time based urgency),8,0.2759,0.275862,0.04,"Statistics, SHAP",2
Stressed,desktop_grid_pref,List View (One product per row with details on the side),"3 Columns (Balanced view, moderate item size)",8,0.2759,0.275862,0.04,"Random Forest, SHAP",2
