Persona,UI_Element,Override_Value,Default_Value,Persona_Count,Persona_Share,Confidence,Support,Evidence,Evidence_Count
Browser,desktop_review_display,All Paginated (Show all reviews with pagination),Recent 3- 5 (Show a few recent reviews),17,0.5667,0.566667,0.085,"Statistics, Random Forest",2
Browser,mobile_sticky_header,No (Header scrolls away with content),Yes (Header stays at top while scrolling),16,0.5333,0.533333,0.08,"Statistics, Random Forest, SHAP",3
Browser,urgency_pref,None (I find these annoying and manipulative),Both (Show both stock and time based urgency),10,0.3333,0.333333,0.05,"Statistics, Random Forest",2
Browser,desktop_navigation,Mega Menu (Dropdown with images and subcategories),Top Bar (Categories always visible across the top),10,0.3333,0.333333,0.05,"Statistics, Random Forest, SHAP",3
Browser,font_style_pref,"1. Modern Sans-serif (Clean, contemporary fonts like Arial or Helvetica)",2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),9,0.3,0.3,0.045,"Statistics, Random Forest",2
Browser,color_theme_pref,"Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Minimalist Black & White (Clean, high contrast, professional)",9,0.3,0.3,0.045,"Statistics, Random Forest, SHAP",3
Browser,form_field_style,Outlined (Border around the field),Rounded Border Fields (Outlined field with rounded corners),9,0.3,0.3,0.045,"Statistics, Random Forest, SHAP",3
Deal Hunter,font_style_pref,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),12,0.5,0.5,0.06,"Statistics, Random Forest",2
Deal Hunter,color_theme_pref,Cool Blues (Blues and grays - calm and trustworthy),"Minimalist Black & White (Clean, high contrast, professional)",8,0.3333,0.333333,0.04,"Statistics, Random Forest, SHAP",3
Deal Hunter,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),7,0.2917,0.291667,0.035,"Statistics, Random Forest",2
Impulsive Buyer,desktop_search_visibility,Collapsible (Search bar that expands when clicked),"Always Visible Top (Large, prominent search bar always shown)",12,0.4286,0.428571,0.06,"Statistics, SHAP",2
Impulsive Buyer,color_theme_pref,"Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Minimalist Black & White (Clean, high contrast, professional)",11,0.3929,0.392857,0.055,"Statistics, Random Forest, SHAP",3
Impulsive Buyer,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),11,0.3929,0.392857,0.055,"Statistics, Random Forest",2
Impulsive Buyer,desktop_navigation,Mega Menu (Dropdown with images and subcategories),Top Bar (Categories always visible across the top),9,0.3214,0.321429,0.045,"Statistics, Random Forest, SHAP",3
Impulsive Buyer,form_field_style,Outlined (Border around the field),Rounded Border Fields (Outlined field with rounded corners),8,0.2857,0.285714,0.04,"Statistics, Random Forest, SHAP",3
Impulsive Buyer,product_desc_length,Moderate (Key details with option to expand),Expandable Sections (Organized into collapsible sections),8,0.2857,0.285714,0.04,"Statistics, Random Forest, SHAP",3
Loyal Customer,desktop_whitespace,Spacious (clean and uncluttered),Balanced,12,0.5455,0.545455,0.06,"Statistics, Random Forest, SHAP",3
Loyal Customer,mobile_review_display,Summary Only (Average rating and total count),Collapsible Sections (Reviews can be expanded or collapsed within the product details),12,0.5455,0.545455,0.06,"Random Forest, SHAP",2
Loyal Customer,hero_banner_size,Small Strip (Thin banner across the top),Medium Split (Takes up half the screen),11,0.5,0.5,0.055,"Statistics, SHAP",2
Loyal Customer,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",11,0.5,0.5,0.055,"Statistics, Random Forest",2
